campaign_id,activity_date,spend,impressions,clicks,attributed_revenue,channel
CMP010,2026-01-06,3854.6,337739,8369,4638.73,Display
CMP010,2026-01-13,3854.6,396665,1892,4638.73,Display
CMP010,2026-01-20,3854.6,380108,11598,4638.73,Display
CMP010,2026-01-27,3854.6,44213,1268,4638.73,Display
CMP010,2026-02-03,3854.6,67446,7690,4638.73,Display
CMP010,2026-02-10,3854.6,26689,8020,4638.73,Display
CMP010,2026-02-17,3854.6,311601,2094,4638.73,Display
CMP010,2026-02-24,3854.6,85771,11591,4638.73,Display
CMP011,2026-01-06,8299.05,363992,5935,19056.76,Email
CMP011,2026-01-13,8299.05,255128,7036,19056.76,Email
CMP011,2026-01-20,8299.05,59265,4322,19056.76,Email
CMP011,2026-01-27,8299.05,41471,4833,19056.76,Email
CMP011,2026-02-03,8299.05,316893,5343,19056.76,Email
CMP011,2026-02-10,8299.05,313306,5017,19056.76,Email
CMP011,2026-02-17,8299.05,67113,11849,19056.76,Email
CMP011,2026-02-24,8299.05,171214,3246,19056.76,Email
CMP012,2026-01-06,7411.51,148567,5534,17580.49,Loyalty
CMP012,2026-01-13,7411.51,394149,6144,17580.49,Loyalty
CMP012,2026-01-20,7411.51,98512,9277,17580.49,Loyalty
CMP012,2026-01-27,7411.51,125902,10884,17580.49,Loyalty
CMP012,2026-02-03,7411.51,131813,8319,17580.49,Loyalty
CMP012,2026-02-10,7411.51,108595,11451,17580.49,Loyalty
CMP012,2026-02-17,7411.51,300428,8131,17580.49,Loyalty
CMP012,2026-02-24,7411.51,393786,6285,17580.49,Loyalty
CMP013,2026-01-06,9809.31,320825,9489,19734.28,Search
CMP013,2026-01-13,9809.31,85375,11205,19734.28,Search
CMP013,2026-01-20,9809.31,129114,1190,19734.28,Search
CMP013,2026-01-27,9809.31,92624,7192,19734.28,Search
CMP013,2026-02-03,9809.31,190766,6599,19734.28,Search
CMP013,2026-02-10,9809.31,163612,10840,19734.28,Search
CMP013,2026-02-17,9809.31,259256,8139,19734.28,Search
CMP013,2026-02-24,9809.31,70256,1756,19734.28,Search
CMP014,2026-01-06,4501.93,53947,8996,7290.05,Paid Social
CMP014,2026-01-13,4501.93,265756,1014,7290.05,Paid Social
CMP014,2026-01-20,4501.93,373965,8948,7290.05,Paid Social
CMP014,2026-01-27,4501.93,331698,4948,7290.05,Paid Social
CMP014,2026-02-03,4501.93,58264,433,7290.05,Paid Social
CMP014,2026-02-10,4501.93,275664,9851,7290.05,Paid Social
CMP014,2026-02-17,4501.93,83345,2300,7290.05,Paid Social
CMP014,2026-02-24,4501.93,238377,2353,7290.05,Paid Social
CMP015,2026-01-06,1779.68,155158,4571,2223.88,Display
CMP015,2026-01-13,1779.68,220186,11043,2223.88,Display
CMP015,2026-01-20,1779.68,62847,2088,2223.88,Display
CMP015,2026-01-27,1779.68,325410,8671,2223.88,Display
CMP015,2026-02-03,1779.68,146414,1388,2223.88,Display
CMP015,2026-02-10,1779.68,322284,7895,2223.88,Display
CMP015,2026-02-17,1779.68,210442,5371,2223.88,Display
CMP015,2026-02-24,1779.68,110419,5347,2223.88,Display
CMP016,2026-01-06,9949.92,371542,8857,23829.53,Email
CMP016,2026-01-13,9949.92,306586,11074,23829.53,Email
CMP016,2026-01-20,9949.92,196413,3426,23829.53,Email
CMP016,2026-01-27,9949.92,146445,8543,23829.53,Email
CMP016,2026-02-03,9949.92,398332,11362,23829.53,Email
CMP016,2026-02-10,9949.92,273153,5190,23829.53,Email
CMP016,2026-02-17,9949.92,313374,11454,23829.53,Email
CMP016,2026-02-24,9949.92,279825,7911,23829.53,Email
CMP017,2026-01-06,1048.5,313868,2382,2292.29,Loyalty
CMP017,2026-01-13,1048.5,351624,2808,2292.29,Loyalty
CMP017,2026-01-20,1048.5,198591,4369,2292.29,Loyalty
CMP017,2026-01-27,1048.5,110482,5877,2292.29,Loyalty
CMP017,2026-02-03,1048.5,69706,2969,2292.29,Loyalty
CMP017,2026-02-10,1048.5,65375,11046,2292.29,Loyalty
CMP017,2026-02-17,1048.5,310941,904,2292.29,Loyalty
CMP017,2026-02-24,1048.5,308673,3077,2292.29,Loyalty
CMP018,2026-01-06,8738.25,319762,9993,16719.86,Search
CMP018,2026-01-13,8738.25,51668,10468,16719.86,Search
CMP018,2026-01-20,8738.25,234485,11309,16719.86,Search
CMP018,2026-01-27,8738.25,232790,7149,16719.86,Search
CMP018,2026-02-03,8738.25,30238,2831,16719.86,Search
CMP018,2026-02-10,8738.25,303714,7451,16719.86,Search
CMP018,2026-02-17,8738.25,209050,3730,16719.86,Search
CMP018,2026-02-24,8738.25,307998,3922,16719.86,Search
CMP019,2026-01-06,9496.68,209271,7926,15640.16,Paid Social
CMP019,2026-01-13,9496.68,53123,7115,15640.16,Paid Social
CMP019,2026-01-20,9496.68,181186,6994,15640.16,Paid Social
CMP019,2026-01-27,9496.68,370558,9077,15640.16,Paid Social
CMP019,2026-02-03,9496.68,90043,2176,15640.16,Paid Social
CMP019,2026-02-10,9496.68,396060,419,15640.16,Paid Social
CMP019,2026-02-17,9496.68,27272,3495,15640.16,Paid Social
CMP019,2026-02-24,9496.68,378018,8139,15640.16,Paid Social
CMP020,2026-01-06,1098.67,331284,746,1328.41,Display
CMP020,2026-01-13,1098.67,254366,1164,1328.41,Display
CMP020,2026-01-20,1098.67,148957,8385,1328.41,Display
CMP020,2026-01-27,1098.67,292727,1395,1328.41,Display
CMP020,2026-02-03,1098.67,296682,10746,1328.41,Display
CMP020,2026-02-10,1098.67,288496,7230,1328.41,Display
CMP020,2026-02-17,1098.67,394128,11951,1328.41,Display
CMP020,2026-02-24,1098.67,247878,9903,1328.41,Display
CMP021,2026-01-06,3304.16,390305,975,7195.01,Email
CMP021,2026-01-13,3304.16,319179,8835,7195.01,Email
CMP021,2026-01-20,3304.16,142986,4872,7195.01,Email
CMP021,2026-01-27,3304.16,284559,4845,7195.01,Email
CMP021,2026-02-03,3304.16,331357,2932,7195.01,Email
CMP021,2026-02-10,3304.16,372524,11790,7195.01,Email
CMP021,2026-02-17,3304.16,382578,7530,7195.01,Email
CMP021,2026-02-24,3304.16,277796,5388,7195.01,Email
CMP022,2026-01-06,6543.46,378673,3283,15447.15,Loyalty
CMP022,2026-01-13,6543.46,342799,7114,15447.15,Loyalty
CMP022,2026-01-20,6543.46,202249,1371,15447.15,Loyalty
CMP022,2026-01-27,6543.46,268917,5092,15447.15,Loyalty
CMP022,2026-02-03,6543.46,372949,4807,15447.15,Loyalty
CMP022,2026-02-10,6543.46,198422,6871,15447.15,Loyalty
CMP022,2026-02-17,6543.46,186022,7635,15447.15,Loyalty
CMP022,2026-02-24,6543.46,89851,7397,15447.15,Loyalty
CMP023,2026-01-06,5826.63,164796,1871,11044.83,Search
CMP023,2026-01-13,5826.63,333567,8753,11044.83,Search
CMP023,2026-01-20,5826.63,103969,8627,11044.83,Search
CMP023,2026-01-27,5826.63,73982,7719,11044.83,Search
CMP023,2026-02-03,5826.63,327221,4847,11044.83,Search
CMP023,2026-02-10,5826.63,281311,8209,11044.83,Search
CMP023,2026-02-17,5826.63,322721,6134,11044.83,Search
CMP023,2026-02-24,5826.63,21831,1061,11044.83,Search
CMP024,2026-01-06,2986.77,89403,2843,4620.02,Paid Social
CMP024,2026-01-13,2986.77,51986,3445,4620.02,Paid Social
CMP024,2026-01-20,2986.77,249356,3341,4620.02,Paid Social
CMP024,2026-01-27,2986.77,228248,10418,4620.02,Paid Social
CMP024,2026-02-03,2986.77,138367,1355,4620.02,Paid Social
CMP024,2026-02-10,2986.77,133616,2448,4620.02,Paid Social
CMP024,2026-02-17,2986.77,223916,11267,4620.02,Paid Social
CMP024,2026-02-24,2986.77,154054,6057,4620.02,Paid Social
