transaction_id,sale_date,store_id,customer_id,sku_id,units,net_revenue,discount_amount,cost,channel,campaign_id
T0000043,2025-01-06,ST014,C00114,SKU006,2,97.15,0.0,46.0,Store,
T0000044,2025-01-06,ST013,C00198,SKU033,3,326.59,0.0,121.5,Ecom,CMP011
T0000045,2025-01-07,ST011,C00147,SKU010,2,137.81,7.92,66.0,Store,
T0000046,2025-01-07,ST016,C00041,SKU029,1,84.18,0.0,30.5,Store,
T0000047,2025-01-07,ST020,C00148,SKU034,1,118.68,0.0,43.0,Store,CMP014
T0000048,2025-01-07,ST020,,SKU030,2,174.24,7.92,66.0,Store,
T0000049,2025-01-07,ST017,C00074,SKU037,1,135.74,0.0,50.5,Store,
T0000050,2025-01-07,ST014,C00044,SKU012,1,80.26,0.0,38.0,Store,CMP017
T0000051,2025-01-08,ST017,,SKU036,2,258.05,0.0,96.0,Ecom,
T0000052,2025-01-08,ST009,,SKU048,2,150.53,0.0,56.0,Store,CMP022
T0000053,2025-01-08,ST019,C00069,SKU048,1,55.1,6.72,28.0,Store,
T0000054,2025-01-08,ST015,C00094,SKU045,2,90.53,0.0,41.0,Ecom,
T0000055,2025-01-08,ST002,C00103,SKU019,2,234.43,0.0,111.0,Store,
T0000056,2025-01-08,ST018,C00098,SKU031,1,74.98,0.0,35.5,Store,
T0000057,2025-01-09,ST004,C00205,SKU024,2,95.04,4.32,36.0,Store,
T0000058,2025-01-09,ST016,C00266,SKU024,1,49.68,0.0,18.0,Store,
T0000059,2025-01-09,ST020,C00165,SKU012,1,104.88,0.0,38.0,Store,
T0000060,2025-01-09,ST020,C00228,SKU046,1,63.48,0.0,23.0,Ecom,
T0000061,2025-01-09,ST020,C00030,SKU028,1,73.92,3.36,28.0,Ecom,
T0000062,2025-01-09,ST006,C00225,SKU002,1,27.46,0.0,13.0,Store,CMP021
T0000063,2025-01-10,ST013,,SKU037,1,129.68,6.06,50.5,Store,
T0000064,2025-01-10,ST003,C00188,SKU037,1,111.5,0.0,50.5,Store,CMP004
T0000065,2025-01-10,ST006,C00288,SKU032,1,80.26,0.0,38.0,Store,
T0000066,2025-01-10,ST020,C00252,SKU019,1,153.18,0.0,55.5,Store,
T0000067,2025-01-10,ST015,C00164,SKU006,1,50.78,0.0,23.0,Store,
T0000068,2025-01-10,ST010,C00090,SKU011,2,132.91,17.04,71.0,Ecom,CMP007
T0000069,2025-01-11,ST008,,SKU032,1,104.88,0.0,38.0,Ecom,
T0000070,2025-01-11,ST005,C00034,SKU040,1,20.54,0.96,8.0,Ecom,
T0000071,2025-01-11,ST019,C00163,SKU005,1,42.8,2.46,20.5,Store,
T0000072,2025-01-11,ST005,C00094,SKU050,2,177.41,0.0,66.0,Ecom,
T0000073,2025-01-11,ST002,C00156,SKU008,1,59.14,0.0,28.0,Store,
T0000074,2025-01-11,ST017,C00129,SKU019,1,135.86,13.32,55.5,Store,CMP021
T0000075,2025-01-11,ST018,C00087,SKU006,1,43.06,5.52,23.0,Store,CMP022
T0000076,2025-01-11,ST020,C00289,SKU022,1,35.88,0.0,13.0,Ecom,CMP021
T0000077,2025-01-11,ST009,C00293,SKU042,1,34.94,0.0,13.0,Store,
T0000078,2025-01-11,ST010,C00248,SKU042,1,25.9,1.56,13.0,Store,
T0000079,2025-01-12,ST002,C00248,SKU011,1,74.98,0.0,35.5,Store,
T0000080,2025-01-12,ST011,C00177,SKU047,3,168.91,0.0,76.5,Store,
T0000081,2025-01-12,ST004,C00063,SKU021,1,28.98,0.0,10.5,Store,CMP002
T0000082,2025-01-12,ST013,C00082,SKU040,2,39.17,3.84,16.0,Store,
T0000083,2025-01-12,ST006,C00240,SKU032,1,80.26,0.0,38.0,Store,
T0000084,2025-01-12,ST013,C00124,SKU033,1,108.86,0.0,40.5,Store,CMP010
T0000085,2025-01-12,ST016,C00056,SKU019,1,153.18,0.0,55.5,Ecom,
T0000086,2025-01-12,ST012,C00292,SKU003,1,42.78,0.0,15.5,Store,
T0000087,2025-01-12,ST017,C00144,SKU029,2,149.33,14.64,61.0,Store,
T0000088,2025-01-12,ST004,C00174,SKU026,1,63.48,0.0,23.0,Store,
T0000089,2025-01-13,ST017,C00024,SKU026,1,61.82,0.0,23.0,Store,
T0000090,2025-01-13,ST005,C00072,SKU039,1,135.86,13.32,55.5,Store,
T0000091,2025-01-13,ST020,C00173,SKU048,1,70.56,6.72,28.0,Store,
T0000092,2025-01-13,ST010,C00189,SKU031,1,74.98,0.0,35.5,Store,
T0000093,2025-01-13,ST001,C00297,SKU039,1,149.18,0.0,55.5,Store,
T0000094,2025-01-13,ST020,C00076,SKU050,2,182.16,0.0,66.0,Store,CMP023
T0000095,2025-01-14,ST001,C00078,SKU029,1,81.98,0.0,30.5,Ecom,
T0000096,2025-01-14,ST016,C00071,SKU048,1,70.56,6.72,28.0,Store,
T0000097,2025-01-14,ST017,C00089,SKU025,1,50.18,4.92,20.5,Store,
T0000098,2025-01-14,ST009,C00127,SKU040,1,21.5,0.0,8.0,Ecom,CMP010
T0000099,2025-01-14,ST007,C00163,SKU045,1,40.34,4.92,20.5,Ecom,
T0000100,2025-01-14,ST009,C00279,SKU019,1,142.52,6.66,55.5,Ecom,
T0000101,2025-01-15,ST005,,SKU019,3,447.55,0.0,166.5,Store,
T0000102,2025-01-15,ST009,C00104,SKU048,2,150.53,0.0,56.0,Store,
T0000103,2025-01-15,ST005,C00123,SKU007,1,62.42,6.12,25.5,Store,CMP008
T0000104,2025-01-15,ST014,C00052,SKU022,1,27.46,0.0,13.0,Ecom,CMP018
T0000105,2025-01-15,ST006,C00244,SKU027,1,53.86,0.0,25.5,Store,
T0000106,2025-01-15,ST010,,SKU042,2,48.67,6.24,26.0,Ecom,CMP024
T0000107,2025-01-16,ST002,C00091,SKU012,3,240.77,0.0,114.0,Store,
T0000108,2025-01-16,ST016,C00149,SKU012,2,209.76,0.0,76.0,Store,
T0000109,2025-01-16,ST011,C00279,SKU019,1,122.54,0.0,55.5,Store,
T0000110,2025-01-16,ST007,C00235,SKU008,1,61.82,0.0,28.0,Ecom,CMP011
T0000111,2025-01-16,ST019,C00090,SKU044,1,37.58,2.16,18.0,Store,
T0000112,2025-01-16,ST003,C00095,SKU026,3,144.07,8.28,69.0,Store,
T0000113,2025-01-17,ST009,C00137,SKU025,3,165.31,0.0,61.5,Store,
T0000114,2025-01-17,ST009,C00121,SKU042,1,34.94,0.0,13.0,Store,
T0000115,2025-01-17,ST017,C00061,SKU046,1,61.82,0.0,23.0,Store,
T0000116,2025-01-17,ST005,C00192,SKU031,1,86.9,8.52,35.5,Ecom,
T0000117,2025-01-17,ST007,C00042,SKU049,1,60.02,7.32,30.5,Store,
T0000118,2025-01-17,ST019,,SKU008,1,55.1,6.72,28.0,Store,CMP018
T0000119,2025-01-18,ST011,C00106,SKU034,2,179.57,10.32,86.0,Store,CMP017
T0000120,2025-01-18,ST002,C00213,SKU030,1,69.7,0.0,33.0,Store,
T0000121,2025-01-18,ST010,,SKU047,1,53.86,0.0,25.5,Store,
T0000122,2025-01-18,ST002,C00033,SKU028,1,59.14,0.0,28.0,Store,
T0000123,2025-01-18,ST016,C00093,SKU003,2,81.84,3.72,31.0,Ecom,
T0000124,2025-01-18,ST015,C00277,SKU025,1,45.26,0.0,20.5,Store,CMP018
T0000125,2025-01-18,ST005,C00002,SKU047,2,137.09,0.0,51.0,Store,
T0000126,2025-01-18,ST014,C00118,SKU035,1,96.1,0.0,45.5,Ecom,CMP007
T0000127,2025-01-18,ST004,C00215,SKU003,1,42.78,0.0,15.5,Store,CMP003
T0000128,2025-01-18,ST002,C00025,SKU029,1,64.42,0.0,30.5,Store,
T0000129,2025-01-19,ST007,C00029,SKU049,1,67.34,0.0,30.5,Store,CMP024
T0000130,2025-01-19,ST019,C00165,SKU039,1,122.54,0.0,55.5,Store,
T0000131,2025-01-19,ST014,C00286,SKU020,3,50.69,0.0,24.0,Store,
T0000132,2025-01-19,ST016,C00196,SKU004,2,99.36,0.0,36.0,Store,
T0000133,2025-01-19,ST010,C00276,SKU025,1,43.3,0.0,20.5,Store,
T0000134,2025-01-19,ST015,C00214,SKU004,1,39.74,0.0,18.0,Store,
T0000135,2025-01-19,ST011,,SKU042,1,28.7,0.0,13.0,Ecom,CMP024
T0000136,2025-01-19,ST002,C00021,SKU018,2,223.87,0.0,106.0,Store,
T0000137,2025-01-19,ST018,C00171,SKU014,1,90.82,0.0,43.0,Ecom,CMP007
T0000138,2025-01-19,ST004,C00246,SKU048,2,141.12,13.44,56.0,Store,
T0000139,2025-01-20,ST008,C00145,SKU036,1,120.96,11.52,48.0,Store,
T0000140,2025-01-20,ST012,C00239,SKU033,1,106.92,4.86,40.5,Store,
T0000141,2025-01-20,ST007,C00024,SKU024,1,39.74,0.0,18.0,Store,
T0000142,2025-01-20,ST018,C00214,SKU038,1,111.94,0.0,53.0,Store,
T0000143,2025-01-20,ST008,C00173,SKU032,1,100.32,4.56,38.0,Store,
T0000144,2025-01-20,ST016,C00181,SKU030,1,83.16,7.92,33.0,Ecom,
T0000145,2025-01-21,ST018,C00269,SKU042,1,27.46,0.0,13.0,Store,
T0000146,2025-01-21,ST001,C00119,SKU027,1,68.54,0.0,25.5,Store,CMP017
T0000147,2025-01-21,ST002,C00248,SKU040,1,16.9,0.0,8.0,Store,CMP018
T0000148,2025-01-21,ST001,C00275,SKU034,3,346.75,0.0,129.0,Store,
T0000149,2025-01-21,ST014,,SKU012,1,80.26,0.0,38.0,Store,CMP020
T0000150,2025-01-21,ST012,C00041,SKU018,1,139.92,6.36,53.0,Store,
T0000151,2025-01-22,ST008,C00042,SKU020,1,22.08,0.0,8.0,Store,CMP013
T0000152,2025-01-22,ST016,C00088,SKU004,1,47.52,2.16,18.0,Store,
T0000153,2025-01-22,ST004,C00118,SKU034,1,108.36,10.32,43.0,Store,
T0000154,2025-01-22,ST003,C00279,SKU044,1,39.74,0.0,18.0,Store,CMP011
T0000155,2025-01-22,ST007,C00204,SKU038,3,351.07,0.0,159.0,Store,CMP008
T0000156,2025-01-22,ST013,C00170,SKU044,1,48.38,0.0,18.0,Store,
T0000157,2025-01-23,ST003,C00178,SKU033,1,84.56,4.86,40.5,Store,CMP003
T0000158,2025-01-23,ST020,C00168,SKU039,1,153.18,0.0,55.5,Store,
T0000159,2025-01-23,ST008,C00193,SKU023,1,39.06,3.72,15.5,Store,
T0000160,2025-01-23,ST020,C00038,SKU019,1,153.18,0.0,55.5,Ecom,
T0000161,2025-01-23,ST005,C00185,SKU048,1,75.26,0.0,28.0,Store,
T0000162,2025-01-23,ST009,C00096,SKU007,1,62.42,6.12,25.5,Store,
T0000163,2025-01-24,ST001,C00048,SKU006,1,61.82,0.0,23.0,Store,
T0000164,2025-01-24,ST014,C00287,SKU025,2,86.59,0.0,41.0,Store,
T0000165,2025-01-24,ST013,C00155,SKU011,1,95.42,0.0,35.5,Store,CMP014
T0000166,2025-01-24,ST010,C00185,SKU031,1,74.98,0.0,35.5,Store,
T0000167,2025-01-24,ST020,C00070,SKU013,1,106.92,4.86,40.5,Store,
T0000168,2025-01-24,ST011,C00070,SKU029,1,60.02,7.32,30.5,Store,
T0000169,2025-01-25,ST011,C00164,SKU012,1,79.34,4.56,38.0,Ecom,
T0000170,2025-01-25,ST011,C00202,SKU025,1,40.34,4.92,20.5,Store,CMP018
T0000171,2025-01-25,ST018,C00237,SKU002,3,82.37,0.0,39.0,Store,
T0000172,2025-01-25,ST003,C00072,SKU027,1,56.3,0.0,25.5,Store,CMP005
T0000173,2025-01-25,ST013,C00246,SKU005,1,50.18,4.92,20.5,Ecom,
T0000174,2025-01-25,ST014,,SKU035,3,255.53,32.76,136.5,Ecom,
T0000175,2025-01-25,ST004,C00182,SKU050,1,83.16,7.92,33.0,Store,CMP021
T0000176,2025-01-25,ST013,C00221,SKU049,1,81.98,0.0,30.5,Ecom,CMP017
T0000177,2025-01-25,ST018,C00114,SKU038,1,105.58,6.36,53.0,Store,
T0000178,2025-01-25,ST017,C00013,SKU010,1,88.7,0.0,33.0,Ecom,
T0000179,2025-01-26,ST004,C00160,SKU047,1,70.38,0.0,25.5,Store,
T0000180,2025-01-26,ST004,C00232,SKU029,1,84.18,0.0,30.5,Store,CMP023
T0000181,2025-01-26,ST011,,SKU042,2,57.41,0.0,26.0,Store,
T0000182,2025-01-26,ST011,C00237,SKU036,1,100.22,5.76,48.0,Store,
T0000183,2025-01-26,ST014,,SKU026,1,48.58,0.0,23.0,Store,
T0000184,2025-01-26,ST001,C00143,SKU046,2,123.65,0.0,46.0,Ecom,
T0000185,2025-01-26,ST018,C00101,SKU012,1,80.26,0.0,38.0,Store,
T0000186,2025-01-26,ST011,C00201,SKU039,1,122.54,0.0,55.5,Store,
T0000187,2025-01-26,ST006,C00153,SKU044,2,67.39,8.64,36.0,Store,CMP005
T0000188,2025-01-26,ST008,,SKU020,1,22.08,0.0,8.0,Store,
T0000189,2025-01-27,ST005,C00096,SKU037,1,123.62,12.12,50.5,Store,
T0000190,2025-01-27,ST006,C00148,SKU036,1,101.38,0.0,48.0,Store,
T0000191,2025-01-27,ST012,C00100,SKU001,2,52.92,5.04,21.0,Store,
T0000192,2025-01-27,ST016,C00228,SKU027,1,70.38,0.0,25.5,Ecom,
T0000193,2025-01-27,ST008,,SKU019,1,153.18,0.0,55.5,Store,CMP015
T0000194,2025-01-27,ST016,C00294,SKU036,1,120.96,11.52,48.0,Store,
T0000195,2025-01-28,ST002,C00280,SKU049,1,60.76,3.66,30.5,Ecom,CMP021
T0000196,2025-01-28,ST010,C00179,SKU003,2,65.47,0.0,31.0,Ecom,
T0000197,2025-01-28,ST008,C00180,SKU014,2,216.72,20.64,86.0,Store,
T0000198,2025-01-28,ST005,C00031,SKU014,1,105.26,10.32,43.0,Store,
T0000199,2025-01-28,ST011,C00294,SKU046,1,45.26,5.52,23.0,Store,
T0000200,2025-01-28,ST004,C00211,SKU009,2,168.36,0.0,61.0,Store,
T0000201,2025-01-29,ST005,C00165,SKU016,2,246.53,11.52,96.0,Store,
T0000202,2025-01-29,ST009,C00232,SKU041,1,28.22,0.0,10.5,Ecom,
T0000203,2025-01-29,ST012,C00168,SKU030,1,91.08,0.0,33.0,Store,
T0000204,2025-01-29,ST012,C00204,SKU005,1,54.12,2.46,20.5,Store,
T0000205,2025-01-29,ST011,C00296,SKU019,1,115.88,6.66,55.5,Ecom,
T0000206,2025-01-29,ST002,,SKU003,2,61.75,3.72,31.0,Store,CMP006
T0000207,2025-01-30,ST001,C00068,SKU028,2,150.53,0.0,56.0,Store,CMP009
T0000208,2025-01-30,ST012,,SKU017,1,139.38,0.0,50.5,Store,CMP021
T0000209,2025-01-30,ST008,C00049,SKU028,1,73.92,3.36,28.0,Store,CMP019
T0000210,2025-01-30,ST015,,SKU001,1,23.18,0.0,10.5,Store,
T0000211,2025-01-30,ST005,,SKU031,1,95.42,0.0,35.5,Ecom,CMP012
T0000212,2025-01-30,ST005,C00069,SKU025,1,55.1,0.0,20.5,Store,CMP019
T0000213,2025-01-31,ST006,C00110,SKU029,1,64.42,0.0,30.5,Store,
T0000214,2025-01-31,ST015,,SKU014,1,94.94,0.0,43.0,Store,
T0000215,2025-01-31,ST014,C00127,SKU021,1,22.18,0.0,10.5,Store,CMP020
T0000216,2025-01-31,ST020,C00014,SKU019,2,306.36,0.0,111.0,Store,CMP020
T0000217,2025-01-31,ST013,C00123,SKU019,1,149.18,0.0,55.5,Store,CMP021
T0000218,2025-01-31,ST017,C00163,SKU001,1,25.7,2.52,10.5,Store,
T0000219,2025-02-01,ST006,C00038,SKU049,1,64.42,0.0,30.5,Store,CMP007
T0000220,2025-02-01,ST002,C00257,SKU026,2,91.63,5.52,46.0,Store,
T0000221,2025-02-01,ST018,C00143,SKU035,1,96.1,0.0,45.5,Store,
T0000222,2025-02-01,ST005,C00034,SKU035,1,116.84,5.46,45.5,Ecom,
T0000223,2025-02-01,ST002,,SKU016,1,95.62,5.76,48.0,Store,
T0000224,2025-02-01,ST006,,SKU008,1,59.14,0.0,28.0,Store,CMP012
T0000225,2025-02-01,ST009,C00138,SKU011,2,190.85,0.0,71.0,Store,
T0000226,2025-02-01,ST014,C00135,SKU018,2,198.43,25.44,106.0,Store,
T0000227,2025-02-01,ST017,,SKU024,2,96.77,0.0,36.0,Store,
T0000228,2025-02-01,ST004,C00060,SKU037,1,127.26,12.12,50.5,Store,CMP001
T0000229,2025-02-02,ST016,C00077,SKU024,1,49.68,0.0,18.0,Ecom,
T0000230,2025-02-02,ST014,C00214,SKU015,2,192.19,0.0,91.0,Store,CMP003
T0000231,2025-02-02,ST004,C00027,SKU033,1,102.06,9.72,40.5,Ecom,
T0000232,2025-02-02,ST003,C00160,SKU030,1,64.94,7.92,33.0,Store,
T0000233,2025-02-02,ST010,C00125,SKU037,1,94.54,12.12,50.5,Ecom,
T0000234,2025-02-02,ST007,C00126,SKU047,1,53.24,3.06,25.5,Store,CMP018
T0000235,2025-02-02,ST001,,SKU022,1,34.94,0.0,13.0,Ecom,CMP017
T0000236,2025-02-02,ST014,C00073,SKU032,2,160.51,0.0,76.0,Ecom,CMP008
T0000237,2025-02-02,ST017,C00191,SKU027,1,68.54,0.0,25.5,Store,
T0000238,2025-02-02,ST013,C00032,SKU005,1,55.1,0.0,20.5,Ecom,CMP009
T0000239,2025-02-03,ST013,C00168,SKU045,1,55.1,0.0,20.5,Store,CMP007
T0000240,2025-02-03,ST019,C00085,SKU007,1,56.3,0.0,25.5,Store,
T0000241,2025-02-03,ST007,C00136,SKU029,2,134.69,0.0,61.0,Store,CMP022
T0000242,2025-02-03,ST020,C00168,SKU003,1,42.78,0.0,15.5,Store,
T0000243,2025-02-03,ST002,C00090,SKU044,1,35.86,2.16,18.0,Store,
T0000244,2025-02-03,ST018,,SKU016,1,101.38,0.0,48.0,Ecom,CMP002
T0000245,2025-02-04,ST008,C00206,SKU009,1,84.18,0.0,30.5,Store,
T0000246,2025-02-04,ST003,C00102,SKU002,2,54.29,3.12,26.0,Store,
T0000247,2025-02-04,ST011,,SKU008,1,61.82,0.0,28.0,Store,
T0000248,2025-02-04,ST013,,SKU032,1,102.14,0.0,38.0,Ecom,
T0000249,2025-02-04,ST009,C00077,SKU018,1,129.74,12.72,53.0,Store,
T0000250,2025-02-04,ST016,C00246,SKU027,1,70.38,0.0,25.5,Store,
T0000251,2025-02-05,ST017,C00279,SKU016,2,246.53,11.52,96.0,Store,
T0000252,2025-02-05,ST018,C00290,SKU032,1,75.7,4.56,38.0,Store,CMP001
T0000253,2025-02-05,ST008,C00144,SKU002,1,34.32,1.56,13.0,Ecom,
T0000254,2025-02-05,ST008,,SKU011,1,97.98,0.0,35.5,Ecom,
T0000255,2025-02-05,ST002,C00113,SKU049,1,60.76,3.66,30.5,Ecom,
T0000256,2025-02-05,ST006,C00163,SKU012,2,160.51,0.0,76.0,Store,
T0000257,2025-02-06,ST012,C00289,SKU037,3,399.96,18.18,151.5,Store,
T0000258,2025-02-06,ST002,,SKU006,1,48.58,0.0,23.0,Store,
T0000259,2025-02-06,ST020,C00175,SKU013,2,223.56,0.0,81.0,Store,CMP005
T0000260,2025-02-06,ST005,,SKU050,1,88.7,0.0,33.0,Store,
T0000261,2025-02-06,ST013,,SKU038,1,142.46,0.0,53.0,Ecom,
T0000262,2025-02-06,ST014,C00163,SKU041,1,19.66,2.52,10.5,Ecom,
T0000263,2025-02-07,ST012,C00090,SKU015,1,125.58,0.0,45.5,Store,CMP024
T0000264,2025-02-07,ST019,C00291,SKU026,1,45.26,5.52,23.0,Ecom,
T0000265,2025-02-07,ST020,C00054,SKU015,3,376.74,0.0,136.5,Store,
T0000266,2025-02-07,ST012,C00046,SKU021,2,57.96,0.0,21.0,Store,
T0000267,2025-02-07,ST008,,SKU045,1,56.58,0.0,20.5,Store,
T0000268,2025-02-07,ST015,C00086,SKU047,2,106.49,6.12,51.0,Store,
T0000269,2025-02-08,ST013,C00296,SKU007,1,68.54,0.0,25.5,Ecom,CMP003
T0000270,2025-02-08,ST002,,SKU019,1,117.22,0.0,55.5,Ecom,CMP006
T0000271,2025-02-08,ST006,,SKU047,3,161.57,0.0,76.5,Ecom,
T0000272,2025-02-08,ST016,,SKU046,3,190.44,0.0,69.0,Store,
T0000273,2025-02-08,ST002,C00098,SKU007,1,47.74,6.12,25.5,Ecom,
T0000274,2025-02-08,ST009,C00122,SKU043,1,39.8,1.86,15.5,Ecom,
T0000275,2025-02-08,ST005,C00219,SKU004,1,44.06,4.32,18.0,Store,
T0000276,2025-02-08,ST007,C00042,SKU011,1,78.38,0.0,35.5,Store,
T0000277,2025-02-08,ST016,C00279,SKU043,1,42.78,0.0,15.5,Store,
T0000278,2025-02-08,ST015,C00239,SKU003,1,34.22,0.0,15.5,Store,
T0000279,2025-02-09,ST004,C00278,SKU006,1,57.96,5.52,23.0,Ecom,CMP002
T0000280,2025-02-09,ST017,C00244,SKU027,1,68.54,0.0,25.5,Store,
T0000281,2025-02-09,ST002,C00265,SKU033,2,151.63,19.44,81.0,Store,CMP015
T0000282,2025-02-09,ST006,C00065,SKU014,1,90.82,0.0,43.0,Store,
T0000283,2025-02-09,ST005,C00035,SKU039,1,135.86,13.32,55.5,Store,
T0000284,2025-02-09,ST009,C00007,SKU034,2,210.53,20.64,86.0,Ecom,
T0000285,2025-02-09,ST004,C00291,SKU027,1,70.38,0.0,25.5,Store,
T0000286,2025-02-09,ST004,C00177,SKU019,2,306.36,0.0,111.0,Store,
T0000287,2025-02-09,ST020,,SKU031,1,97.98,0.0,35.5,Store,
T0000288,2025-02-09,ST013,C00170,SKU003,1,41.66,0.0,15.5,Ecom,
T0000289,2025-02-10,ST012,C00156,SKU002,1,34.32,1.56,13.0,Store,
T0000290,2025-02-10,ST008,C00227,SKU009,2,168.36,0.0,61.0,Store,CMP014
T0000291,2025-02-10,ST003,C00209,SKU013,2,159.41,19.44,81.0,Ecom,
T0000292,2025-02-10,ST017,,SKU011,2,182.33,8.52,71.0,Ecom,CMP017
T0000293,2025-02-10,ST001,C00103,SKU012,2,204.29,0.0,76.0,Ecom,CMP002
T0000294,2025-02-10,ST007,C00238,SKU018,1,117.02,0.0,53.0,Store,
T0000295,2025-02-11,ST016,C00243,SKU039,1,153.18,0.0,55.5,Ecom,
T0000296,2025-02-11,ST009,C00047,SKU048,1,71.9,3.36,28.0,Ecom,CMP019
T0000297,2025-02-11,ST007,C00106,SKU015,1,95.0,5.46,45.5,Ecom,
T0000298,2025-02-11,ST001,C00089,SKU031,1,95.42,0.0,35.5,Ecom,CMP020
T0000299,2025-02-11,ST010,C00141,SKU046,1,45.82,2.76,23.0,Store,
T0000300,2025-02-11,ST007,C00267,SKU030,2,137.81,7.92,66.0,Store,
T0000301,2025-02-12,ST012,C00145,SKU036,1,132.48,0.0,48.0,Store,
T0000302,2025-02-12,ST009,C00142,SKU041,1,28.22,0.0,10.5,Ecom,CMP017
T0000303,2025-02-12,ST002,C00164,SKU039,1,117.22,0.0,55.5,Ecom,
T0000304,2025-02-12,ST009,C00019,SKU027,1,62.42,6.12,25.5,Store,
T0000305,2025-02-12,ST008,C00244,SKU044,2,99.36,0.0,36.0,Ecom,
T0000306,2025-02-12,ST018,C00242,SKU012,1,80.26,0.0,38.0,Store,
T0000307,2025-02-13,ST006,C00046,SKU044,1,38.02,0.0,18.0,Store,
T0000308,2025-02-13,ST011,C00151,SKU024,1,39.74,0.0,18.0,Ecom,
T0000309,2025-02-13,ST019,C00037,SKU038,1,117.02,0.0,53.0,Ecom,
T0000310,2025-02-13,ST013,C00028,SKU034,2,231.17,0.0,86.0,Store,CMP007
T0000311,2025-02-13,ST019,C00093,SKU030,2,137.81,7.92,66.0,Ecom,
T0000312,2025-02-13,ST011,,SKU041,1,23.18,0.0,10.5,Store,
T0000313,2025-02-14,ST006,C00046,SKU032,1,75.7,4.56,38.0,Store,
T0000314,2025-02-14,ST016,,SKU025,1,56.58,0.0,20.5,Ecom,
