snapshot_date,store_id,sku_id,on_hand_units
2026-06-30,ST004,SKU018,8
2026-06-30,ST004,SKU019,30
2026-06-30,ST004,SKU020,61
2026-06-30,ST005,SKU001,5
2026-06-30,ST005,SKU002,38
2026-06-30,ST005,SKU003,29
2026-06-30,ST005,SKU004,28
2026-06-30,ST005,SKU005,33
2026-06-30,ST005,SKU006,29
2026-06-30,ST005,SKU007,19
2026-06-30,ST005,SKU008,72
2026-06-30,ST005,SKU009,69
2026-06-30,ST005,SKU010,30
2026-06-30,ST005,SKU011,72
2026-06-30,ST005,SKU012,39
2026-06-30,ST005,SKU013,50
2026-06-30,ST005,SKU014,55
2026-06-30,ST005,SKU015,14
2026-06-30,ST005,SKU016,20
2026-06-30,ST005,SKU017,50
2026-06-30,ST005,SKU018,66
2026-06-30,ST005,SKU019,74
2026-06-30,ST005,SKU020,5
2026-06-30,ST006,SKU001,38
2026-06-30,ST006,SKU002,63
2026-06-30,ST006,SKU003,32
2026-06-30,ST006,SKU004,60
2026-06-30,ST006,SKU005,16
2026-06-30,ST006,SKU006,79
2026-06-30,ST006,SKU007,71
2026-06-30,ST006,SKU008,51
2026-06-30,ST006,SKU009,18
2026-06-30,ST006,SKU010,65
2026-06-30,ST006,SKU011,57
2026-06-30,ST006,SKU012,77
2026-06-30,ST006,SKU013,53
2026-06-30,ST006,SKU014,73
2026-06-30,ST006,SKU015,6
2026-06-30,ST006,SKU016,53
2026-06-30,ST006,SKU017,41
2026-06-30,ST006,SKU018,51
2026-06-30,ST006,SKU019,49
2026-06-30,ST006,SKU020,43
2026-06-30,ST007,SKU001,42
2026-06-30,ST007,SKU002,22
2026-06-30,ST007,SKU003,16
2026-06-30,ST007,SKU004,51
2026-06-30,ST007,SKU005,66
2026-06-30,ST007,SKU006,73
2026-06-30,ST007,SKU007,32
2026-06-30,ST007,SKU008,63
2026-06-30,ST007,SKU009,24
2026-06-30,ST007,SKU010,59
2026-06-30,ST007,SKU011,41
2026-06-30,ST007,SKU012,7
2026-06-30,ST007,SKU013,45
2026-06-30,ST007,SKU014,30
2026-06-30,ST007,SKU015,22
2026-06-30,ST007,SKU016,61
2026-06-30,ST007,SKU017,29
2026-06-30,ST007,SKU018,58
2026-06-30,ST007,SKU019,70
2026-06-30,ST007,SKU020,71
2026-06-30,ST008,SKU001,50
2026-06-30,ST008,SKU002,30
2026-06-30,ST008,SKU003,37
2026-06-30,ST008,SKU004,20
2026-06-30,ST008,SKU005,71
2026-06-30,ST008,SKU006,75
2026-06-30,ST008,SKU007,31
2026-06-30,ST008,SKU008,77
2026-06-30,ST008,SKU009,8
2026-06-30,ST008,SKU010,32
2026-06-30,ST008,SKU011,62
2026-06-30,ST008,SKU012,63
2026-06-30,ST008,SKU013,70
2026-06-30,ST008,SKU014,31
2026-06-30,ST008,SKU015,31
2026-06-30,ST008,SKU016,14
2026-06-30,ST008,SKU017,51
2026-06-30,ST008,SKU018,6
2026-06-30,ST008,SKU019,34
2026-06-30,ST008,SKU020,25
2026-06-30,ST009,SKU001,16
2026-06-30,ST009,SKU002,80
2026-06-30,ST009,SKU003,69
2026-06-30,ST009,SKU004,51
2026-06-30,ST009,SKU005,78
2026-06-30,ST009,SKU006,57
2026-06-30,ST009,SKU007,48
2026-06-30,ST009,SKU008,50
2026-06-30,ST009,SKU009,14
2026-06-30,ST009,SKU010,7
2026-06-30,ST009,SKU011,20
2026-06-30,ST009,SKU012,46
2026-06-30,ST009,SKU013,5
2026-06-30,ST009,SKU014,54
2026-06-30,ST009,SKU015,59
2026-06-30,ST009,SKU016,59
2026-06-30,ST009,SKU017,71
2026-06-30,ST009,SKU018,55
2026-06-30,ST009,SKU019,8
2026-06-30,ST009,SKU020,55
2026-06-30,ST010,SKU001,62
2026-06-30,ST010,SKU002,32
2026-06-30,ST010,SKU003,42
2026-06-30,ST010,SKU004,67
2026-06-30,ST010,SKU005,57
2026-06-30,ST010,SKU006,64
2026-06-30,ST010,SKU007,15
2026-06-30,ST010,SKU008,42
2026-06-30,ST010,SKU009,76
2026-06-30,ST010,SKU010,77
2026-06-30,ST010,SKU011,72
2026-06-30,ST010,SKU012,58
2026-06-30,ST010,SKU013,35
2026-06-30,ST010,SKU014,22
2026-06-30,ST010,SKU015,75
2026-06-30,ST010,SKU016,78
2026-06-30,ST010,SKU017,49
2026-06-30,ST010,SKU018,15
2026-06-30,ST010,SKU019,4
2026-06-30,ST010,SKU020,33
2026-06-30,ST011,SKU001,71
2026-06-30,ST011,SKU002,46
2026-06-30,ST011,SKU003,27
2026-06-30,ST011,SKU004,43
2026-06-30,ST011,SKU005,22
2026-06-30,ST011,SKU006,64
2026-06-30,ST011,SKU007,52
2026-06-30,ST011,SKU008,25
2026-06-30,ST011,SKU009,23
2026-06-30,ST011,SKU010,17
2026-06-30,ST011,SKU011,45
2026-06-30,ST011,SKU012,49
2026-06-30,ST011,SKU013,76
2026-06-30,ST011,SKU014,55
2026-06-30,ST011,SKU015,34
2026-06-30,ST011,SKU016,60
2026-06-30,ST011,SKU017,41
2026-06-30,ST011,SKU018,30
2026-06-30,ST011,SKU019,77
2026-06-30,ST011,SKU020,57
2026-06-30,ST012,SKU001,33
2026-06-30,ST012,SKU002,80
2026-06-30,ST012,SKU003,36
2026-06-30,ST012,SKU004,47
2026-06-30,ST012,SKU005,80
2026-06-30,ST012,SKU006,40
2026-06-30,ST012,SKU007,4
2026-06-30,ST012,SKU008,29
2026-06-30,ST012,SKU009,75
2026-06-30,ST012,SKU010,76
2026-06-30,ST012,SKU011,48
2026-06-30,ST012,SKU012,45
2026-06-30,ST012,SKU013,40
2026-06-30,ST012,SKU014,57
2026-06-30,ST012,SKU015,50
2026-06-30,ST012,SKU016,59
2026-06-30,ST012,SKU017,51
2026-06-30,ST012,SKU018,29
2026-06-30,ST012,SKU019,13
2026-06-30,ST012,SKU020,64
2026-06-30,ST013,SKU001,11
2026-06-30,ST013,SKU002,69
2026-06-30,ST013,SKU003,66
2026-06-30,ST013,SKU004,31
2026-06-30,ST013,SKU005,8
2026-06-30,ST013,SKU006,10
2026-06-30,ST013,SKU007,23
2026-06-30,ST013,SKU008,15
2026-06-30,ST013,SKU009,6
2026-06-30,ST013,SKU010,22
2026-06-30,ST013,SKU011,63
2026-06-30,ST013,SKU012,30
2026-06-30,ST013,SKU013,52
2026-06-30,ST013,SKU014,52
2026-06-30,ST013,SKU015,32
2026-06-30,ST013,SKU016,25
2026-06-30,ST013,SKU017,48
2026-06-30,ST013,SKU018,53
2026-06-30,ST013,SKU019,63
2026-06-30,ST013,SKU020,30
2026-06-30,ST014,SKU001,27
2026-06-30,ST014,SKU002,25
2026-06-30,ST014,SKU003,30
2026-06-30,ST014,SKU004,40
2026-06-30,ST014,SKU005,68
2026-06-30,ST014,SKU006,61
2026-06-30,ST014,SKU007,38
2026-06-30,ST014,SKU008,76
2026-06-30,ST014,SKU009,31
2026-06-30,ST014,SKU010,80
2026-06-30,ST014,SKU011,12
2026-06-30,ST014,SKU012,58
2026-06-30,ST014,SKU013,54
2026-06-30,ST014,SKU014,4
2026-06-30,ST014,SKU015,16
2026-06-30,ST014,SKU016,78
2026-06-30,ST014,SKU017,19
2026-06-30,ST014,SKU018,8
2026-06-30,ST014,SKU019,5
2026-06-30,ST014,SKU020,42
2026-06-30,ST015,SKU001,74
2026-06-30,ST015,SKU002,70
2026-06-30,ST015,SKU003,59
2026-06-30,ST015,SKU004,54
2026-06-30,ST015,SKU005,6
2026-06-30,ST015,SKU006,60
2026-06-30,ST015,SKU007,30
2026-06-30,ST015,SKU008,23
2026-06-30,ST015,SKU009,56
2026-06-30,ST015,SKU010,43
2026-06-30,ST015,SKU011,42
2026-06-30,ST015,SKU012,61
2026-06-30,ST015,SKU013,75
2026-06-30,ST015,SKU014,77
2026-06-30,ST015,SKU015,29
2026-06-30,ST015,SKU016,64
2026-06-30,ST015,SKU017,69
2026-06-30,ST015,SKU018,49
2026-06-30,ST015,SKU019,50
2026-06-30,ST015,SKU020,39
2026-06-30,ST016,SKU001,15
2026-06-30,ST016,SKU002,65
2026-06-30,ST016,SKU003,59
2026-06-30,ST016,SKU004,11
2026-06-30,ST016,SKU005,6
2026-06-30,ST016,SKU006,80
2026-06-30,ST016,SKU007,29
2026-06-30,ST016,SKU008,67
2026-06-30,ST016,SKU009,16
2026-06-30,ST016,SKU010,57
2026-06-30,ST016,SKU011,41
2026-06-30,ST016,SKU012,50
2026-06-30,ST016,SKU013,75
2026-06-30,ST016,SKU014,17
2026-06-30,ST016,SKU015,5
2026-06-30,ST016,SKU016,40
2026-06-30,ST016,SKU017,48
2026-06-30,ST016,SKU018,66
2026-06-30,ST016,SKU019,35
2026-06-30,ST016,SKU020,38
2026-06-30,ST017,SKU001,57
2026-06-30,ST017,SKU002,59
2026-06-30,ST017,SKU003,77
2026-06-30,ST017,SKU004,42
2026-06-30,ST017,SKU005,36
2026-06-30,ST017,SKU006,67
2026-06-30,ST017,SKU007,31
2026-06-30,ST017,SKU008,33
2026-06-30,ST017,SKU009,73
2026-06-30,ST017,SKU010,60
2026-06-30,ST017,SKU011,74
2026-06-30,ST017,SKU012,11
2026-06-30,ST017,SKU013,45
2026-06-30,ST017,SKU014,20
2026-06-30,ST017,SKU015,68
2026-06-30,ST017,SKU016,77
2026-06-30,ST017,SKU017,7
2026-06-30,ST017,SKU018,46
2026-06-30,ST017,SKU019,53
2026-06-30,ST017,SKU020,59
2026-06-30,ST018,SKU001,48
2026-06-30,ST018,SKU002,15
2026-06-30,ST018,SKU003,74
2026-06-30,ST018,SKU004,28
2026-06-30,ST018,SKU005,60
2026-06-30,ST018,SKU006,73
2026-06-30,ST018,SKU007,42
2026-06-30,ST018,SKU008,61
2026-06-30,ST018,SKU009,60
2026-06-30,ST018,SKU010,15
2026-06-30,ST018,SKU011,79
2026-06-30,ST018,SKU012,71
2026-06-30,ST018,SKU013,73
2026-06-30,ST018,SKU014,68
2026-06-30,ST018,SKU015,34
2026-06-30,ST018,SKU016,60
2026-06-30,ST018,SKU017,39
2026-06-30,ST018,SKU018,35
2026-06-30,ST018,SKU019,37
2026-06-30,ST018,SKU020,49
2026-06-30,ST019,SKU001,9
2026-06-30,ST019,SKU002,55
2026-06-30,ST019,SKU003,69
2026-06-30,ST019,SKU004,44
2026-06-30,ST019,SKU005,31
2026-06-30,ST019,SKU006,68
2026-06-30,ST019,SKU007,9
2026-06-30,ST019,SKU008,54
2026-06-30,ST019,SKU009,24
2026-06-30,ST019,SKU010,45
2026-06-30,ST019,SKU011,11
2026-06-30,ST019,SKU012,23
2026-06-30,ST019,SKU013,34
2026-06-30,ST019,SKU014,9
2026-06-30,ST019,SKU015,69
2026-06-30,ST019,SKU016,77
2026-06-30,ST019,SKU017,79
2026-06-30,ST019,SKU018,53
2026-06-30,ST019,SKU019,39
2026-06-30,ST019,SKU020,54
2026-06-30,ST020,SKU001,25
2026-06-30,ST020,SKU002,37
2026-06-30,ST020,SKU003,32
2026-06-30,ST020,SKU004,42
2026-06-30,ST020,SKU005,33
2026-06-30,ST020,SKU006,49
2026-06-30,ST020,SKU007,36
2026-06-30,ST020,SKU008,71
2026-06-30,ST020,SKU009,55
2026-06-30,ST020,SKU010,80
2026-06-30,ST020,SKU011,46
2026-06-30,ST020,SKU012,26
2026-06-30,ST020,SKU013,18
2026-06-30,ST020,SKU014,27
2026-06-30,ST020,SKU015,17
2026-06-30,ST020,SKU016,49
2026-06-30,ST020,SKU017,53
2026-06-30,ST020,SKU018,8
2026-06-30,ST020,SKU019,34
2026-06-30,ST020,SKU020,68
